a,Water,b,Mineral Oil,c,Glycerol,d,CuSO4 0.625%,e,CuSO4 1.25%,f,CuSO4 2.5%,g,CuSO4 5%,h,CuSO4 10%
0.0001,0,0.0001,0,0.0001,-0.08,0.0001,-0.08,0.0001,0,0.0001,0,0.0001,0,0.0001,0
0.0002,0,0.0002,0,0.0002,-0.08,0.0002,-0.16,0.0002,0,0.0002,0,0.0002,0,0.0002,0
0.0003,0,0.0003,0,0.0003,-0.08,0.0003,-0.16,0.0003,0,0.0003,0,0.0003,0,0.0003,0
0.0004,0,0.0004,0,0.0004,-0.08,0.0004,-0.16,0.0004,0,0.0004,0,0.0004,0,0.0004,0
0.0005,0,0.0005,0,0.0005,-0.08,0.0005,-0.16,0.0005,0,0.0005,0,0.0005,0,0.0005,0
0.0006,0,0.0006,0,0.0006,-0.08,0.0006,-0.16,0.0006,0,0.0006,-0.08,0.0006,0,0.0006,0.08
0.0007,0,0.0007,0,0.0007,-0.08,0.0007,-0.08,0.0007,0,0.0007,0,0.0007,0,0.0007,0
0.0008,0.02,0.0008,0,0.0008,0,0.0008,0,0.0008,0,0.0008,0,0.0008,-0.08,0.0008,0
0.0009,0.02,0.0009,0,0.0009,-0.08,0.0009,0,0.0009,0,0.0009,-0.08,0.0009,0,0.0009,0
0.001,0.02,0.001,-0.08,0.001,-0.08,0.001,0,0.001,0,0.001,-0.08,0.001,0,0.001,0
0.0011,0.02,0.0011,0,0.0011,-0.08,0.0011,0,0.0011,-0.08,0.0011,-0.08,0.0011,-0.08,0.0011,0
0.0012,0.04,0.0012,0,0.0012,0,0.0012,0.08,0.0012,0,0.0012,0,0.0012,0,0.0012,0
0.0013,0.04,0.0013,0,0.0013,-0.08,0.0013,0.16,0.0013,0,0.0013,-0.08,0.0013,-0.08,0.0013,0
0.0014,0.02,0.0014,0,0.0014,0,0.0014,0.24,0.0014,0,0.0014,0,0.0014,-0.08,0.0014,0
0.0015,-0.02,0.0015,0,0.0015,-0.08,0.0015,0.32,0.0015,-0.08,0.0015,0,0.0015,-0.08,0.0015,0
0.0016,0.02,0.0016,0.08,0.0016,0,0.0016,0.56,0.0016,0,0.0016,0,0.0016,0,0.0016,0
0.0017,-0.02,0.0017,0.08,0.0017,-0.08,0.0017,0.88,0.0017,0,0.0017,-0.08,0.0017,0,0.0017,0
0.0018,-0.02,0.0018,0,0.0018,-0.08,0.0018,1.52,0.0018,0,0.0018,0,0.0018,0,0.0018,0
0.0019,0,0.0019,0,0.0019,-0.08,0.0019,2.4,0.0019,0,0.0019,0,0.0019,0,0.0019,-0.08
0.002,-0.02,0.002,0,0.002,-0.08,0.002,5.04,0.002,-0.08,0.002,0,0.002,0,0.002,0
0.0021,0,0.0021,0,0.0021,-0.16,0.0021,7.84,0.0021,-0.08,0.0021,0,0.0021,0,0.0021,0
0.0022,0,0.0022,0,0.0022,4.48,0.0022,7.44,0.0022,0,0.0022,0,0.0022,0,0.0022,0
0.0023,0,0.0023,0,0.0023,3.76,0.0023,6.24,0.0023,0,0.0023,-0.08,0.0023,0,0.0023,0
0.0024,0.02,0.0024,0,0.0024,2.32,0.0024,4.8,0.0024,-0.08,0.0024,-0.08,0.0024,0,0.0024,0
0.0025,0,0.0025,0,0.0025,1.44,0.0025,3.68,0.0025,0,0.0025,0,0.0025,-0.08,0.0025,0
